Trial #	Cell #	Observation #	Rel. Time	Offset	Elapsed Time
-1	-1	-1	00:10:02.639	3	4159
-1	-1	-1	00:10:06.706	2	4067
-1	-1	-1	00:10:10.914	3	4208
-1	-1	-1	00:10:15.156	3	4242
-1	-1	-1	00:10:19.414	3	4258
-1	-1	-1	00:10:23.681	3	4267
-1	-1	-1	00:10:27.789	3	4108
-1	-1	-1	00:10:31.881	3	4092
-1	-1	-1	00:10:35.989	3	4108
-1	-1	-1	00:10:40.156	3	4167
-1	-1	-1	00:10:44.390	2	4234
-1	-1	-1	00:10:48.614	3	4224
-1	-1	-1	00:10:52.856	3	4242
-1	-1	-1	00:10:56.990	2	4134
-1	-1	-1	00:11:01.214	3	4224
-1	-1	-1	00:11:05.316	2	4102
-1	-1	-1	00:11:09.433	2	4117
-1	-1	-1	00:11:13.566	3	4133
-1	-1	-1	00:11:17.658	2	4092
-1	-1	-1	00:11:21.791	3	4133
-1	-1	-1	00:11:25.983	2	4192
-1	-1	-1	00:11:30.225	2	4242
-1	-1	-1	00:11:34.357	3	4132
-1	-1	-1	00:11:38.525	2	4168
-1	-1	-1	00:11:42.658	3	4133
-1	-1	-1	00:11:46.900	2	4242
-1	-1	-1	00:11:51.091	3	4191
-1	-1	-1	00:11:55.275	2	4184
-1	-1	-1	00:11:59.417	2	4142
-1	-1	-1	00:12:03.600	2	4183
-1	-1	-1	00:12:07.692	2	4092
-1	-1	-1	00:12:11.783	3	4091
-1	-1	-1	00:12:15.868	1	4085
-1	-1	-1	00:12:19.976	3	4108
-1	-1	-1	00:12:24.168	2	4192
-1	-1	-1	00:12:28.260	2	4092
-1	-1	-1	00:12:32.343	3	4083
-1	-1	-1	00:12:36.509	3	4166
-1	-1	-1	00:12:40.568	3	4059
-1	-1	-1	00:12:44.735	2	4167
-1	-1	-1	00:12:48.835	2	4100
-1	-1	-1	00:12:52.918	3	4083
-1	-1	-1	00:12:57.160	2	4242
-1	-1	-1	00:13:01.368	3	4208
-1	-1	-1	00:13:05.435	3	4067
-1	-1	-1	00:13:09.527	2	4092
-1	-1	-1	00:13:13.710	3	4183
-1	-1	-1	00:13:17.868	3	4158
-1	-1	-1	00:13:22.018	3	4150
-1	-1	-1	00:13:26.086	3	4068
-1	-1	-1	00:13:30.202	4	4116
-1	-1	-1	00:13:34.370	2	4168
-1	-1	-1	00:13:38.528	3	4158
-1	-1	-1	00:13:42.753	3	4225
-1	-1	-1	00:13:46.953	3	4200
-1	-1	-1	00:13:51.111	3	4158
-1	-1	-1	00:13:55.336	3	4225
-1	-1	-1	00:13:59.587	2	4251
-1	-1	-1	00:14:03.678	3	4091
-1	-1	-1	00:14:07.836	3	4158
-1	-1	-1	00:14:12.028	3	4192
-1	-1	-1	00:14:16.170	3	4142
-1	-1	-1	00:14:20.412	2	4242
-1	-1	-1	00:14:24.562	3	4150
-1	-1	-1	00:14:28.820	3	4258
-1	-1	-1	00:14:33.070	3	4250
-1	-1	-1	00:14:37.297	1	4227
-1	-1	-1	00:14:41.472	2	4175
-1	-1	-1	00:14:45.688	3	4216
-1	-1	-1	00:14:49.905	2	4217
-1	-1	-1	00:14:54.021	3	4116
-1	-1	-1	00:14:58.097	2	4076
-1	-1	-1	00:15:02.263	3	4166
-1	-1	-1	00:15:06.422	2	4159
-1	-1	-1	00:15:10.564	2	4142
-1	-1	-1	00:15:14.738	3	4174
-1	-1	-1	00:15:18.905	3	4167
-1	-1	-1	00:15:22.989	2	4084
-1	-1	-1	00:15:27.130	3	4141
-1	-1	-1	00:15:31.197	3	4067
-1	-1	-1	00:15:35.380	3	4183
-1	-1	-1	00:15:39.480	3	4100
-1	-1	-1	00:15:43.556	2	4076
-1	-1	-1	00:15:47.714	2	4158
-1	-1	-1	00:15:51.923	3	4209
-1	-1	-1	00:15:56.073	3	4150
-1	-1	-1	00:16:00.148	3	4075
-1	-1	-1	00:16:04.273	3	4125
-1	-1	-1	00:16:08.348	3	4075
-1	-1	-1	00:16:12.573	3	4225
-1	-1	-1	00:16:16.690	3	4117
-1	-1	-1	00:16:20.915	3	4225
-1	-1	-1	00:16:25.040	3	4125
-1	-1	-1	00:16:29.124	2	4084
-1	-1	-1	00:16:33.249	2	4125
-1	-1	-1	00:16:37.423	3	4174
-1	-1	-1	00:16:41.641	2	4218
-1	-1	-1	00:16:45.716	2	4075
-1	-1	-1	00:16:49.807	3	4091
-1	-1	-1	00:16:53.924	3	4117
-1	-1	-1	00:16:58.066	3	4142
-1	-1	-1	00:17:02.233	3	4167
-1	-1	-1	00:17:06.384	2	4151
-1	-1	-1	00:17:10.567	2	4183
-1	-1	-1	00:17:14.775	3	4208
-1	-1	-1	00:17:18.942	3	4167
-1	-1	-1	00:17:23.142	3	4200
-1	-1	-1	00:17:27.258	3	4116
-1	-1	-1	00:17:31.484	2	4226
-1	-1	-1	00:17:35.692	3	4208
-1	-1	-1	00:17:39.767	3	4075
-1	-1	-1	00:17:43.859	2	4092
-1	-1	-1	00:17:47.976	2	4117
-1	-1	-1	00:17:52.117	3	4141
-1	-1	-1	00:17:56.267	3	4150
-1	-1	-1	00:18:00.434	3	4167
-1	-1	-1	00:18:04.542	3	4108
-1	-1	-1	00:18:08.743	3	4201
-1	-1	-1	00:18:12.968	3	4225
-1	-1	-1	00:18:17.109	4	4141
-1	-1	-1	00:18:21.294	2	4185
-1	-1	-1	00:18:25.526	4	4232
-1	-1	-1	00:18:29.602	3	4076
-1	-1	-1	00:18:33.702	3	4100
-1	-1	-1	00:18:37.819	2	4117
-1	-1	-1	00:18:42.061	2	4242
-1	-1	-1	00:18:46.127	3	4066
-1	-1	-1	00:18:50.202	3	4075
-1	-1	-1	00:18:54.269	3	4067
-1	-1	-1	00:18:58.352	3	4083
-1	-1	-1	00:19:02.486	2	4134
-1	-1	-1	00:19:06.677	3	4191
-1	-1	-1	00:19:10.794	3	4117
-1	-1	-1	00:19:14.944	3	4150
-1	-1	-1	00:19:19.136	3	4192
-1	-1	-1	00:19:23.303	3	4167
-1	-1	-1	00:19:27.520	3	4217
-1	-1	-1	00:19:31.587	3	4067
-1	-1	-1	00:19:35.678	3	4091
-1	-1	-1	00:19:39.829	2	4151
-1	-1	-1	00:19:43.979	3	4150
-1	-1	-1	00:19:48.046	2	4067
-1	-1	-1	00:19:52.245	3	4199
-1	-1	-1	00:19:56.429	3	4184
-1	-1	-1	00:20:00.579	3	4150
-1	-1	-1	00:20:04.796	2	4217
-1	-1	-1	00:20:08.896	2	4100
-1	-1	-1	00:20:12.971	3	4075
-1	-1	-1	00:20:17.154	3	4183
-1	-1	-1	00:20:21.229	3	4075
-1	-1	-1	00:20:25.479	3	4250
-1	-1	-1	00:20:29.614	1	4135
-1	-1	-1	00:20:33.730	3	4116
-1	-1	-1	00:20:37.972	3	4242
-1	-1	-1	00:20:42.213	3	4241
-1	-1	-1	00:20:46.364	3	4151
-1	-1	-1	00:20:50.456	2	4092
-1	-1	-1	00:20:54.622	3	4166
-1	-1	-1	00:20:58.730	3	4108
-1	-1	-1	00:21:02.956	2	4226
-1	-1	-1	00:21:07.197	3	4241
-1	-1	-1	00:21:11.406	2	4209
-1	-1	-1	00:21:15.605	4	4199
-1	-1	-1	00:21:19.706	3	4101
-1	-1	-1	00:21:23.881	3	4175
-1	-1	-1	00:21:28.139	3	4258
